customer_id,customer_name,email,signup_date
1,Customer 1,customer1@example.com,2022-01-01
2,Customer 2,customer2@example.com,2022-01-02
3,Customer 3,customer3@example.com,2022-01-03
4,Customer 4,customer4@example.com,2022-01-04
5,Customer 5,customer5@example.com,2022-01-05
6,Customer 6,customer6@example.com,2022-01-06
7,Customer 7,customer7@example.com,2022-01-07
8,Customer 8,customer8@example.com,2022-01-08
9,Customer 9,customer9@example.com,2022-01-09
10,Customer 10,customer10@example.com,2022-01-10
11,Customer 11,customer11@example.com,2022-01-11
12,Customer 12,customer12@example.com,2022-01-12
13,Customer 13,customer13@example.com,2022-01-13
14,Customer 14,customer14@example.com,2022-01-14
15,Customer 15,customer15@example.com,2022-01-15
16,Customer 16,customer16@example.com,2022-01-16
17,Customer 17,customer17@example.com,2022-01-17
18,Customer 18,customer18@example.com,2022-01-18
19,Customer 19,customer19@example.com,2022-01-19
20,Customer 20,customer20@example.com,2022-01-20
21,Customer 21,customer21@example.com,2022-01-21
22,Customer 22,customer22@example.com,2022-01-22
23,Customer 23,customer23@example.com,2022-01-23
24,Customer 24,customer24@example.com,2022-01-24
25,Customer 25,customer25@example.com,2022-01-25
26,Customer 26,customer26@example.com,2022-01-26
27,Customer 27,customer27@example.com,2022-01-27
28,Customer 28,customer28@example.com,2022-01-28
29,Customer 29,customer29@example.com,2022-01-29
30,Customer 30,customer30@example.com,2022-01-30
31,Customer 31,customer31@example.com,2022-01-31
32,Customer 32,customer32@example.com,2022-02-01
33,Customer 33,customer33@example.com,2022-02-02
34,Customer 34,customer34@example.com,2022-02-03
35,Customer 35,customer35@example.com,2022-02-04
36,Customer 36,customer36@example.com,2022-02-05
37,Customer 37,customer37@example.com,2022-02-06
38,Customer 38,customer38@example.com,2022-02-07
39,Customer 39,customer39@example.com,2022-02-08
40,Customer 40,customer40@example.com,2022-02-09
41,Customer 41,customer41@example.com,2022-02-10
42,Customer 42,customer42@example.com,2022-02-11
43,Customer 43,customer43@example.com,2022-02-12
44,Customer 44,customer44@example.com,2022-02-13
45,Customer 45,customer45@example.com,2022-02-14
46,Customer 46,customer46@example.com,2022-02-15
47,Customer 47,customer47@example.com,2022-02-16
48,Customer 48,customer48@example.com,2022-02-17
49,Customer 49,customer49@example.com,2022-02-18
50,Customer 50,customer50@example.com,2022-02-19
51,Customer 51,customer51@example.com,2022-02-20
52,Customer 52,customer52@example.com,2022-02-21
53,Customer 53,customer53@example.com,2022-02-22
54,Customer 54,customer54@example.com,2022-02-23
55,Customer 55,customer55@example.com,2022-02-24
56,Customer 56,customer56@example.com,2022-02-25
57,Customer 57,customer57@example.com,2022-02-26
58,Customer 58,customer58@example.com,2022-02-27
59,Customer 59,customer59@example.com,2022-02-28
60,Customer 60,customer60@example.com,2022-03-01
61,Customer 61,customer61@example.com,2022-03-02
62,Customer 62,customer62@example.com,2022-03-03
63,Customer 63,customer63@example.com,2022-03-04
64,Customer 64,customer64@example.com,2022-03-05
65,Customer 65,customer65@example.com,2022-03-06
66,Customer 66,customer66@example.com,2022-03-07
67,Customer 67,customer67@example.com,2022-03-08
68,Customer 68,customer68@example.com,2022-03-09
69,Customer 69,customer69@example.com,2022-03-10
70,Customer 70,customer70@example.com,2022-03-11
71,Customer 71,customer71@example.com,2022-03-12
72,Customer 72,customer72@example.com,2022-03-13
73,Customer 73,customer73@example.com,2022-03-14
74,Customer 74,customer74@example.com,2022-03-15
75,Customer 75,customer75@example.com,2022-03-16
76,Customer 76,customer76@example.com,2022-03-17
77,Customer 77,customer77@example.com,2022-03-18
78,Customer 78,customer78@example.com,2022-03-19
79,Customer 79,customer79@example.com,2022-03-20
80,Customer 80,customer80@example.com,2022-03-21
81,Customer 81,customer81@example.com,2022-03-22
82,Customer 82,customer82@example.com,2022-03-23
83,Customer 83,customer83@example.com,2022-03-24
84,Customer 84,customer84@example.com,2022-03-25
85,Customer 85,customer85@example.com,2022-03-26
86,Customer 86,customer86@example.com,2022-03-27
87,Customer 87,customer87@example.com,2022-03-28
88,Customer 88,customer88@example.com,2022-03-29
89,Customer 89,customer89@example.com,2022-03-30
90,Customer 90,customer90@example.com,2022-03-31
91,Customer 91,customer91@example.com,2022-04-01
92,Customer 92,customer92@example.com,2022-04-02
93,Customer 93,customer93@example.com,2022-04-03
94,Customer 94,customer94@example.com,2022-04-04
95,Customer 95,customer95@example.com,2022-04-05
96,Customer 96,customer96@example.com,2022-04-06
97,Customer 97,customer97@example.com,2022-04-07
98,Customer 98,customer98@example.com,2022-04-08
99,Customer 99,customer99@example.com,2022-04-09
100,Customer 100,customer100@example.com,2022-04-10
101,Customer 101,customer101@example.com,2022-04-11
102,Customer 102,customer102@example.com,2022-04-12
103,Customer 103,customer103@example.com,2022-04-13
104,Customer 104,customer104@example.com,2022-04-14
105,Customer 105,customer105@example.com,2022-04-15
106,Customer 106,customer106@example.com,2022-04-16
107,Customer 107,customer107@example.com,2022-04-17
108,Customer 108,customer108@example.com,2022-04-18
109,Customer 109,customer109@example.com,2022-04-19
110,Customer 110,customer110@example.com,2022-04-20
111,Customer 111,customer111@example.com,2022-04-21
112,Customer 112,customer112@example.com,2022-04-22
113,Customer 113,customer113@example.com,2022-04-23
114,Customer 114,customer114@example.com,2022-04-24
115,Customer 115,customer115@example.com,2022-04-25
116,Customer 116,customer116@example.com,2022-04-26
117,Customer 117,customer117@example.com,2022-04-27
118,Customer 118,customer118@example.com,2022-04-28
119,Customer 119,customer119@example.com,2022-04-29
120,Customer 120,customer120@example.com,2022-04-30
121,Customer 121,customer121@example.com,2022-05-01
122,Customer 122,customer122@example.com,2022-05-02
123,Customer 123,customer123@example.com,2022-05-03
124,Customer 124,customer124@example.com,2022-05-04
125,Customer 125,customer125@example.com,2022-05-05
126,Customer 126,customer126@example.com,2022-05-06
127,Customer 127,customer127@example.com,2022-05-07
128,Customer 128,customer128@example.com,2022-05-08
129,Customer 129,customer129@example.com,2022-05-09
130,Customer 130,customer130@example.com,2022-05-10
131,Customer 131,customer131@example.com,2022-05-11
132,Customer 132,customer132@example.com,2022-05-12
133,Customer 133,customer133@example.com,2022-05-13
134,Customer 134,customer134@example.com,2022-05-14
135,Customer 135,customer135@example.com,2022-05-15
136,Customer 136,customer136@example.com,2022-05-16
137,Customer 137,customer137@example.com,2022-05-17
138,Customer 138,customer138@example.com,2022-05-18
139,Customer 139,customer139@example.com,2022-05-19
140,Customer 140,customer140@example.com,2022-05-20
141,Customer 141,customer141@example.com,2022-05-21
142,Customer 142,customer142@example.com,2022-05-22
143,Customer 143,customer143@example.com,2022-05-23
144,Customer 144,customer144@example.com,2022-05-24
145,Customer 145,customer145@example.com,2022-05-25
146,Customer 146,customer146@example.com,2022-05-26
147,Customer 147,customer147@example.com,2022-05-27
148,Customer 148,customer148@example.com,2022-05-28
149,Customer 149,customer149@example.com,2022-05-29
150,Customer 150,customer150@example.com,2022-05-30
151,Customer 151,customer151@example.com,2022-05-31
152,Customer 152,customer152@example.com,2022-06-01
153,Customer 153,customer153@example.com,2022-06-02
154,Customer 154,customer154@example.com,2022-06-03
155,Customer 155,customer155@example.com,2022-06-04
156,Customer 156,customer156@example.com,2022-06-05
157,Customer 157,customer157@example.com,2022-06-06
158,Customer 158,customer158@example.com,2022-06-07
159,Customer 159,customer159@example.com,2022-06-08
160,Customer 160,customer160@example.com,2022-06-09
161,Customer 161,customer161@example.com,2022-06-10
162,Customer 162,customer162@example.com,2022-06-11
163,Customer 163,customer163@example.com,2022-06-12
164,Customer 164,customer164@example.com,2022-06-13
165,Customer 165,customer165@example.com,2022-06-14
166,Customer 166,customer166@example.com,2022-06-15
167,Customer 167,customer167@example.com,2022-06-16
168,Customer 168,customer168@example.com,2022-06-17
169,Customer 169,customer169@example.com,2022-06-18
170,Customer 170,customer170@example.com,2022-06-19
171,Customer 171,customer171@example.com,2022-06-20
172,Customer 172,customer172@example.com,2022-06-21
173,Customer 173,customer173@example.com,2022-06-22
174,Customer 174,customer174@example.com,2022-06-23
175,Customer 175,customer175@example.com,2022-06-24
176,Customer 176,customer176@example.com,2022-06-25
177,Customer 177,customer177@example.com,2022-06-26
178,Customer 178,customer178@example.com,2022-06-27
179,Customer 179,customer179@example.com,2022-06-28
180,Customer 180,customer180@example.com,2022-06-29
181,Customer 181,customer181@example.com,2022-06-30
182,Customer 182,customer182@example.com,2022-07-01
183,Customer 183,customer183@example.com,2022-07-02
184,Customer 184,customer184@example.com,2022-07-03
185,Customer 185,customer185@example.com,2022-07-04
186,Customer 186,customer186@example.com,2022-07-05
187,Customer 187,customer187@example.com,2022-07-06
188,Customer 188,customer188@example.com,2022-07-07
189,Customer 189,customer189@example.com,2022-07-08
190,Customer 190,customer190@example.com,2022-07-09
191,Customer 191,customer191@example.com,2022-07-10
192,Customer 192,customer192@example.com,2022-07-11
193,Customer 193,customer193@example.com,2022-07-12
194,Customer 194,customer194@example.com,2022-07-13
195,Customer 195,customer195@example.com,2022-07-14
196,Customer 196,customer196@example.com,2022-07-15
197,Customer 197,customer197@example.com,2022-07-16
198,Customer 198,customer198@example.com,2022-07-17
199,Customer 199,customer199@example.com,2022-07-18
200,Customer 200,customer200@example.com,2022-07-19
201,Customer 201,customer201@example.com,2022-07-20
202,Customer 202,customer202@example.com,2022-07-21
203,Customer 203,customer203@example.com,2022-07-22
204,Customer 204,customer204@example.com,2022-07-23
205,Customer 205,customer205@example.com,2022-07-24
206,Customer 206,customer206@example.com,2022-07-25
207,Customer 207,customer207@example.com,2022-07-26
208,Customer 208,customer208@example.com,2022-07-27
209,Customer 209,customer209@example.com,2022-07-28
210,Customer 210,customer210@example.com,2022-07-29
211,Customer 211,customer211@example.com,2022-07-30
212,Customer 212,customer212@example.com,2022-07-31
213,Customer 213,customer213@example.com,2022-08-01
214,Customer 214,customer214@example.com,2022-08-02
215,Customer 215,customer215@example.com,2022-08-03
216,Customer 216,customer216@example.com,2022-08-04
217,Customer 217,customer217@example.com,2022-08-05
218,Customer 218,customer218@example.com,2022-08-06
219,Customer 219,customer219@example.com,2022-08-07
220,Customer 220,customer220@example.com,2022-08-08
221,Customer 221,customer221@example.com,2022-08-09
222,Customer 222,customer222@example.com,2022-08-10
223,Customer 223,customer223@example.com,2022-08-11
224,Customer 224,customer224@example.com,2022-08-12
225,Customer 225,customer225@example.com,2022-08-13
226,Customer 226,customer226@example.com,2022-08-14
227,Customer 227,customer227@example.com,2022-08-15
228,Customer 228,customer228@example.com,2022-08-16
229,Customer 229,customer229@example.com,2022-08-17
230,Customer 230,customer230@example.com,2022-08-18
231,Customer 231,customer231@example.com,2022-08-19
232,Customer 232,customer232@example.com,2022-08-20
233,Customer 233,customer233@example.com,2022-08-21
234,Customer 234,customer234@example.com,2022-08-22
235,Customer 235,customer235@example.com,2022-08-23
236,Customer 236,customer236@example.com,2022-08-24
237,Customer 237,customer237@example.com,2022-08-25
238,Customer 238,customer238@example.com,2022-08-26
239,Customer 239,customer239@example.com,2022-08-27
240,Customer 240,customer240@example.com,2022-08-28
241,Customer 241,customer241@example.com,2022-08-29
242,Customer 242,customer242@example.com,2022-08-30
243,Customer 243,customer243@example.com,2022-08-31
244,Customer 244,customer244@example.com,2022-09-01
245,Customer 245,customer245@example.com,2022-09-02
246,Customer 246,customer246@example.com,2022-09-03
247,Customer 247,customer247@example.com,2022-09-04
248,Customer 248,customer248@example.com,2022-09-05
249,Customer 249,customer249@example.com,2022-09-06
250,Customer 250,customer250@example.com,2022-09-07
251,Customer 251,customer251@example.com,2022-09-08
252,Customer 252,customer252@example.com,2022-09-09
253,Customer 253,customer253@example.com,2022-09-10
254,Customer 254,customer254@example.com,2022-09-11
255,Customer 255,customer255@example.com,2022-09-12
256,Customer 256,customer256@example.com,2022-09-13
